,sample_index,landmark_index,pred,type1_1,type1_0,type0_0,type0_1,type1_support,type0_support,type1_precision,type1_recall,type0_precision,type0_recall,type1_f1,type0_f1,precision,recall,f1
26,152,27,1,23,12,31,12,35,43,0.6571428570000001,0.6571428570000001,0.7209302329999999,0.7209302329999999,0.6571428570000001,0.7209302329999999,0.692307692,0.692307692,0.692307692
27,152,28,1,25,10,25,18,35,43,0.581395349,0.7142857140000001,0.7142857140000001,0.581395349,0.641025641,0.641025641,0.654655422,0.641025641,0.641025641
28,152,29,1,23,12,25,18,35,43,0.56097561,0.6571428570000001,0.6756756759999999,0.581395349,0.605263158,0.625,0.624207697,0.615384615,0.616143725
29,152,30,1,28,7,25,18,35,43,0.608695652,0.8,0.78125,0.581395349,0.691358025,0.666666667,0.703821767,0.6794871790000001,0.6777461220000001
30,152,31,1,27,8,23,20,35,43,0.574468085,0.771428571,0.7419354840000001,0.534883721,0.658536585,0.621621622,0.6667898560000001,0.641025641,0.638186028
31,152,32,0,4,31,31,12,35,43,0.25,0.11428571400000001,0.5,0.7209302329999999,0.156862745,0.59047619,0.387820513,0.448717949,0.395906055
32,152,33,1,25,10,34,9,35,43,0.735294118,0.7142857140000001,0.772727273,0.790697674,0.7246376809999999,0.781609195,0.755930344,0.7564102559999999,0.7560450540000001
33,152,34,1,24,11,26,17,35,43,0.585365854,0.685714286,0.7027027029999999,0.604651163,0.6315789470000001,0.65,0.650051552,0.641025641,0.641734143
34,152,35,0,11,24,38,5,35,43,0.6875,0.314285714,0.612903226,0.88372093,0.431372549,0.7238095240000001,0.6463761370000001,0.628205128,0.592587804
35,152,36,1,32,3,5,38,35,43,0.457142857,0.914285714,0.625,0.11627907,0.60952381,0.19607843100000003,0.549679487,0.474358974,0.381598793
36,152,37,1,14,21,29,14,35,43,0.5,0.4,0.58,0.674418605,0.444444444,0.623655914,0.544102564,0.551282051,0.543240511
37,152,38,1,7,28,40,3,35,43,0.7,0.2,0.588235294,0.9302325579999999,0.311111111,0.720720721,0.6383861239999999,0.602564103,0.536921537
38,152,39,0,15,20,36,7,35,43,0.681818182,0.428571429,0.642857143,0.837209302,0.526315789,0.727272727,0.66033966,0.653846154,0.6370997420000001
39,152,40,1,29,6,25,18,35,43,0.617021277,0.828571429,0.806451613,0.581395349,0.707317073,0.6756756759999999,0.7214508209999999,0.692307692,0.689873739
