sample_index,landmark_index,type,pred,type0_0,type0_1,type1_0,type1_1,type0_precision,type0_recall,type0_f1,type0_num,type1_precision,type1_recall,type1_f1,type1_num,overall_precision,overall_recall,overall_f1
113,33,wt-at,0,35,7,9,26,0.795454545,0.833333333,0.813953488,42,0.787878788,0.742857143,0.764705882,35,0.792011019,0.792207792,0.791568213
113,34,wt-at,0,38,4,9,26,0.808510638,0.904761905,0.853932584,42,0.866666667,0.742857143,0.8,35,0.834945197,0.831168831,0.829417773
113,35,wt-at,0,38,4,8,27,0.826086957,0.904761905,0.863636364,42,0.870967742,0.771428571,0.818181818,35,0.846487314,0.844155844,0.842975207
113,36,wt-at,0,37,5,15,20,0.711538462,0.880952381,0.787234043,42,0.8,0.571428571,0.666666667,35,0.751748252,0.74025974,0.73243069
113,37,wt-at,0,35,7,8,27,0.813953488,0.833333333,0.823529412,42,0.794117647,0.771428571,0.782608696,35,0.804937197,0.805194805,0.804929086
113,38,wt-at,0,37,5,16,19,0.698113208,0.880952381,0.778947368,42,0.791666667,0.542857143,0.644067797,35,0.740637507,0.727272727,0.717638472
113,39,wt-at,0,37,5,15,20,0.711538462,0.880952381,0.787234043,42,0.8,0.571428571,0.666666667,35,0.751748252,0.74025974,0.73243069
113,40,wt-at,0,39,3,11,24,0.78,0.928571429,0.847826087,42,0.888888889,0.685714286,0.774193548,35,0.829494949,0.818181818,0.814356751
113,41,wt-at,0,34,8,7,28,0.829268293,0.80952381,0.819277108,42,0.777777778,0.8,0.788732394,35,0.805863513,0.805194805,0.805393147
113,42,wt-at,1,35,7,9,26,0.795454545,0.833333333,0.813953488,42,0.787878788,0.742857143,0.764705882,35,0.792011019,0.792207792,0.791568213
113,43,wt-at,1,31,11,12,23,0.720930233,0.738095238,0.729411765,42,0.676470588,0.657142857,0.666666667,35,0.700721303,0.701298701,0.700891266
113,44,wt-at,0,36,6,19,16,0.654545455,0.857142857,0.742268041,42,0.727272727,0.457142857,0.561403509,35,0.687603306,0.675324675,0.66005689
113,45,wt-at,0,32,10,10,25,0.761904762,0.761904762,0.761904762,42,0.714285714,0.714285714,0.714285714,35,0.74025974,0.74025974,0.74025974
113,46,wt-at,0,34,8,9,26,0.790697674,0.80952381,0.8,42,0.764705882,0.742857143,0.753623188,35,0.778883223,0.779220779,0.778919631
113,47,wt-at,0,37,5,11,24,0.770833333,0.880952381,0.822222222,42,0.827586207,0.685714286,0.75,35,0.796630094,0.792207792,0.789393939
113,48,wt-at,0,34,8,7,28,0.829268293,0.80952381,0.819277108,42,0.777777778,0.8,0.788732394,35,0.805863513,0.805194805,0.805393147
113,49,wt-at,0,37,5,11,24,0.770833333,0.880952381,0.822222222,42,0.827586207,0.685714286,0.75,35,0.796630094,0.792207792,0.789393939
113,50,wt-at,0,36,6,13,22,0.734693878,0.857142857,0.791208791,42,0.785714286,0.628571429,0.698412698,35,0.757884972,0.753246753,0.749028749
113,51,wt-at,0,33,9,9,26,0.785714286,0.785714286,0.785714286,42,0.742857143,0.742857143,0.742857143,35,0.766233766,0.766233766,0.766233766
113,52,wt-at,0,34,8,10,25,0.772727273,0.80952381,0.790697674,42,0.757575758,0.714285714,0.735294118,35,0.76584022,0.766233766,0.76551424
113,53,wt-at,0,37,5,9,26,0.804347826,0.880952381,0.840909091,42,0.838709677,0.742857143,0.787878788,35,0.819966849,0.818181818,0.816804408
113,54,wt-at,0,30,12,12,23,0.714285714,0.714285714,0.714285714,42,0.657142857,0.657142857,0.657142857,35,0.688311688,0.688311688,0.688311688
113,55,wt-at,0,33,9,12,23,0.733333333,0.785714286,0.75862069,42,0.71875,0.657142857,0.686567164,35,0.726704545,0.727272727,0.725869087
113,56,wt-at,0,35,7,7,28,0.833333333,0.833333333,0.833333333,42,0.8,0.8,0.8,35,0.818181818,0.818181818,0.818181818
113,57,wt-at,0,39,3,16,19,0.709090909,0.928571429,0.804123711,42,0.863636364,0.542857143,0.666666667,35,0.779338843,0.753246753,0.741643236
113,58,wt-at,0,36,6,9,26,0.8,0.857142857,0.827586207,42,0.8125,0.742857143,0.776119403,35,0.805681818,0.805194805,0.804192205
113,59,wt-at,0,39,3,16,19,0.709090909,0.928571429,0.804123711,42,0.863636364,0.542857143,0.666666667,35,0.779338843,0.753246753,0.741643236
113,60,wt-at,0,37,5,13,22,0.74,0.880952381,0.804347826,42,0.814814815,0.628571429,0.709677419,35,0.774006734,0.766233766,0.761315823
113,61,wt-at,0,34,8,8,27,0.80952381,0.80952381,0.80952381,42,0.771428571,0.771428571,0.771428571,35,0.792207792,0.792207792,0.792207792
113,62,wt-at,0,35,7,9,26,0.795454545,0.833333333,0.813953488,42,0.787878788,0.742857143,0.764705882,35,0.792011019,0.792207792,0.791568213
113,63,wt-at,1,29,13,8,27,0.783783784,0.69047619,0.734177215,42,0.675,0.771428571,0.72,35,0.734336609,0.727272727,0.727733026
113,64,wt-at,0,31,11,10,25,0.756097561,0.738095238,0.746987952,42,0.694444444,0.714285714,0.704225352,35,0.728073417,0.727272727,0.727550406
113,65,wt-at,0,37,5,8,27,0.822222222,0.880952381,0.850574713,42,0.84375,0.771428571,0.805970149,35,0.832007576,0.831168831,0.830299911
113,66,wt-at,0,36,6,11,24,0.765957447,0.857142857,0.808988764,42,0.8,0.685714286,0.738461538,35,0.781431335,0.779220779,0.776930934
113,67,wt-at,0,27,15,10,25,0.72972973,0.642857143,0.683544304,42,0.625,0.714285714,0.666666667,35,0.682125307,0.675324675,0.675872651
113,68,wt-at,0,35,7,18,17,0.660377358,0.833333333,0.736842105,42,0.708333333,0.485714286,0.576271186,35,0.682175529,0.675324675,0.663855324
113,69,wt-at,0,38,4,12,23,0.76,0.904761905,0.826086957,42,0.851851852,0.657142857,0.741935484,35,0.801750842,0.792207792,0.787836287
113,70,wt-at,0,31,11,12,23,0.720930233,0.738095238,0.729411765,42,0.676470588,0.657142857,0.666666667,35,0.700721303,0.701298701,0.700891266
