type0_f1,type0_precision,type0_recall,type0_support,type1_f1,type1_precision,type1_recall,type1_support,f1,landmark_index,type1_1,type1_0,precision,pred,recall,sample_index,type0_1,type0_0
0.729411765,0.720930233,0.738095238,42,0.666666667,0.676470588,0.657142857,35,0.700891266,70,23,12,0.700721303,0,0.701298701,113,11,31
0.761904762,0.761904762,0.761904762,42,0.714285714,0.714285714,0.714285714,35,0.74025974,71,25,10,0.74025974,1,0.74025974,113,10,32
0.75862069,0.733333333,0.785714286,42,0.686567164,0.71875,0.657142857,35,0.725869087,72,23,12,0.726704545,0,0.727272727,113,9,33
0.774193548,0.705882353,0.857142857,42,0.655737705,0.769230769,0.571428571,35,0.720349983,73,20,15,0.734677088,0,0.727272727,113,6,36
0.817204301,0.745098039,0.904761905,42,0.721311475,0.846153846,0.628571429,35,0.773616653,74,22,13,0.791032497,0,0.779220779,113,4,38
0.752475248,0.644067797,0.904761905,42,0.528301887,0.777777778,0.4,35,0.650578265,75,14,21,0.704845061,0,0.675324675,113,4,38
0.6875,0.611111111,0.785714286,42,0.482758621,0.608695652,0.4,35,0.594435737,76,14,21,0.610013175,1,0.61038961,113,9,33
0.675675676,0.78125,0.595238095,42,0.7,0.622222222,0.8,35,0.686732187,77,28,7,0.708964646,0,0.688311688,113,17,25
0.772727273,0.739130435,0.80952381,42,0.696969697,0.741935484,0.657142857,35,0.738292011,78,23,12,0.740405457,0,0.74025974,113,8,34
0.8,0.75,0.857142857,42,0.71875,0.793103448,0.657142857,35,0.763068182,79,23,12,0.769592476,0,0.766233766,113,6,36
0.813186813,0.755102041,0.880952381,42,0.73015873,0.821428571,0.657142857,35,0.775446775,80,23,12,0.785250464,0,0.779220779,113,5,37
0.791666667,0.703703704,0.904761905,42,0.655172414,0.826086957,0.542857143,35,0.729623824,81,19,16,0.759332455,0,0.74025974,113,4,38
0.770833333,0.685185185,0.880952381,42,0.620689655,0.782608696,0.514285714,35,0.702586207,82,18,17,0.729468599,0,0.714285714,113,5,37
0.775510204,0.678571429,0.904761905,42,0.607142857,0.80952381,0.485714286,35,0.698979592,83,17,18,0.738095238,0,0.714285714,113,4,38
0.755102041,0.660714286,0.880952381,42,0.571428571,0.761904762,0.457142857,35,0.6716141,84,16,19,0.706709957,1,0.688311688,113,5,37
0.76744186,0.75,0.785714286,42,0.705882353,0.727272727,0.685714286,35,0.739460266,85,24,11,0.739669421,0,0.74025974,113,9,33
0.774193548,0.705882353,0.857142857,42,0.655737705,0.769230769,0.571428571,35,0.720349983,86,20,15,0.734677088,0,0.727272727,113,6,36
0.790697674,0.772727273,0.80952381,42,0.735294118,0.757575758,0.714285714,35,0.76551424,87,25,10,0.76584022,0,0.766233766,113,8,34
0.804878049,0.825,0.785714286,42,0.777777778,0.756756757,0.8,35,0.792559744,88,28,7,0.793980344,0,0.792207792,113,9,33
