,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
18,19,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
19,20,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
20,21,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
21,22,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
22,23,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
23,24,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
24,25,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
25,26,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
26,27,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
27,28,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
28,29,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
29,30,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
30,31,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
31,32,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
32,33,0,41,2,3,8,43,11,0.8367346938775511,0.9534883720930233,0.6,0.2727272727272727,0.8913043478260869,0.37499999999999994,0.7885109599395315,0.8148148148148148,0.7861312399355876
33,34,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
34,35,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
35,36,0,43,0,3,8,43,11,0.8431372549019608,1.0,1.0,0.2727272727272727,0.9148936170212766,0.42857142857142855,0.8750907770515615,0.8518518518518519,0.815827986040752
36,37,0,43,0,4,7,43,11,0.86,1.0,1.0,0.36363636363636365,0.924731182795699,0.5333333333333333,0.8885185185185185,0.8703703703703703,0.8450019912385505
37,38,0,43,0,2,9,43,11,0.8269230769230769,1.0,1.0,0.18181818181818182,0.9052631578947368,0.3076923076923077,0.8621794871794871,0.8333333333333334,0.783535762483131
38,39,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
39,40,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
40,41,0,43,0,1,10,43,11,0.8113207547169812,1.0,1.0,0.09090909090909091,0.8958333333333334,0.16666666666666669,0.8497554157931517,0.8148148148148148,0.7472993827160495
41,42,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
42,43,0,43,0,2,9,43,11,0.8269230769230769,1.0,1.0,0.18181818181818182,0.9052631578947368,0.3076923076923077,0.8621794871794871,0.8333333333333334,0.783535762483131
43,44,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
44,45,0,43,0,0,11,43,11,0.7962962962962963,1.0,0.0,0.0,0.8865979381443299,0.0,0.6340877914951989,0.7962962962962963,0.7059946544482627
45,46,0,43,0,2,9,43,11,0.8269230769230769,1.0,1.0,0.18181818181818182,0.9052631578947368,0.3076923076923077,0.8621794871794871,0.8333333333333334,0.783535762483131
46,47,0,38,5,9,2,43,11,0.95,0.8837209302325582,0.6428571428571429,0.8181818181818182,0.9156626506024096,0.7200000000000001,0.8874338624338625,0.8703703703703703,0.8758054439982151
47,48,1,40,3,9,2,43,11,0.9523809523809523,0.9302325581395349,0.75,0.8181818181818182,0.9411764705882352,0.7826086956521738,0.9111552028218695,0.9074074074074074,0.9088756275457042
48,49,1,43,0,10,1,43,11,0.9772727272727273,1.0,1.0,0.9090909090909091,0.9885057471264368,0.9523809523809523,0.9819023569023569,0.9814814814814815,0.9811469926412455
49,50,1,41,2,9,2,43,11,0.9534883720930233,0.9534883720930233,0.8181818181818182,0.8181818181818182,0.9534883720930233,0.8181818181818182,0.9259259259259259,0.9259259259259259,0.9259259259259259
50,51,1,39,4,7,4,43,11,0.9069767441860465,0.9069767441860465,0.6363636363636364,0.6363636363636364,0.9069767441860465,0.6363636363636364,0.8518518518518519,0.8518518518518519,0.8518518518518519
51,52,1,38,5,9,2,43,11,0.95,0.8837209302325582,0.6428571428571429,0.8181818181818182,0.9156626506024096,0.7200000000000001,0.8874338624338625,0.8703703703703703,0.8758054439982151
