,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
28,29,1,37,7,25,10,44,35,0.7872340425531915,0.8409090909090909,0.78125,0.7142857142857143,0.8131868131868133,0.7462686567164178,0.7845828844600053,0.7848101265822784,0.7835395286746127
29,30,1,28,16,29,6,44,35,0.8235294117647058,0.6363636363636364,0.6444444444444445,0.8285714285714286,0.717948717948718,0.7250000000000001,0.7441879705468686,0.7215189873417721,0.7210727036676404
30,31,1,41,3,26,9,44,35,0.82,0.9318181818181818,0.896551724137931,0.7428571428571429,0.8723404255319149,0.8125,0.8539153208206024,0.8481012658227848,0.8458288446000538
31,32,1,27,17,31,4,44,35,0.8709677419354839,0.6136363636363636,0.6458333333333334,0.8857142857142857,0.72,0.7469879518072288,0.7712246495168096,0.7341772151898734,0.7319566875095317
32,33,0,37,7,25,10,44,35,0.7872340425531915,0.8409090909090909,0.78125,0.7142857142857143,0.8131868131868133,0.7462686567164178,0.7845828844600053,0.7848101265822784,0.7835395286746127
33,34,0,39,5,23,12,44,35,0.7647058823529411,0.8863636363636364,0.8214285714285714,0.6571428571428571,0.8210526315789474,0.73015873015873,0.7898361876396127,0.7848101265822784,0.7807831815826486
34,35,1,40,4,24,11,44,35,0.7843137254901961,0.9090909090909091,0.8571428571428571,0.6857142857142857,0.8421052631578948,0.7619047619047619,0.8165797964755521,0.810126582278481,0.8065733955141017
35,36,1,36,8,24,11,44,35,0.7659574468085106,0.8181818181818182,0.75,0.6857142857142857,0.7912087912087913,0.7164179104477612,0.7588876918933477,0.759493670886076,0.7580735908716261
36,37,1,36,8,26,9,44,35,0.8,0.8181818181818182,0.7647058823529411,0.7428571428571429,0.8089887640449439,0.7536231884057971,0.7843633655994043,0.7848101265822784,0.7844597115465877
37,38,1,39,5,18,17,44,35,0.6964285714285714,0.8863636363636364,0.782608695652174,0.5142857142857142,0.7799999999999999,0.6206896551724138,0.7346096391225726,0.7215189873417721,0.7094194674814491
38,39,0,40,4,17,18,44,35,0.6896551724137931,0.9090909090909091,0.8095238095238095,0.4857142857142857,0.7843137254901961,0.6071428571428571,0.7427615306270916,0.7215189873417721,0.7058203028046661
39,40,1,32,12,28,7,44,35,0.8205128205128205,0.7272727272727273,0.7,0.8,0.7710843373493976,0.7466666666666666,0.767121064589419,0.759493670886076,0.7602663819836307
40,41,1,35,9,27,8,44,35,0.813953488372093,0.7954545454545454,0.75,0.7714285714285715,0.8045977011494252,0.7605633802816902,0.7856196644097734,0.7848101265822784,0.7850888248156186
41,42,1,38,6,23,12,44,35,0.76,0.8636363636363636,0.7931034482758621,0.6571428571428571,0.8085106382978724,0.71875,0.7746660846791794,0.7721518987341772,0.7687432669000809
42,43,0,33,11,27,8,44,35,0.8048780487804879,0.75,0.7105263157894737,0.7714285714285715,0.7764705882352942,0.7397260273972601,0.7630766480882664,0.759493670886076,0.7601913524209754
43,44,1,35,9,16,19,44,35,0.6481481481481481,0.7954545454545454,0.64,0.45714285714285713,0.7142857142857143,0.5333333333333333,0.6445382090951712,0.6455696202531646,0.6341169379144064
44,45,1,35,9,21,14,44,35,0.7142857142857143,0.7954545454545454,0.7,0.6,0.7526881720430106,0.6461538461538462,0.7079566003616636,0.7088607594936709,0.7054894200667985
45,46,1,35,9,26,9,44,35,0.7954545454545454,0.7954545454545454,0.7428571428571429,0.7428571428571429,0.7954545454545455,0.7428571428571429,0.7721518987341772,0.7721518987341772,0.7721518987341772
46,47,1,37,7,23,12,44,35,0.7551020408163265,0.8409090909090909,0.7666666666666667,0.6571428571428571,0.7956989247311828,0.7076923076923077,0.7602256092310342,0.759493670886076,0.7567086513595292
47,48,1,35,9,27,8,44,35,0.813953488372093,0.7954545454545454,0.75,0.7714285714285715,0.8045977011494252,0.7605633802816902,0.7856196644097734,0.7848101265822784,0.7850888248156186
48,49,1,38,6,23,12,44,35,0.76,0.8636363636363636,0.7931034482758621,0.6571428571428571,0.8085106382978724,0.71875,0.7746660846791794,0.7721518987341772,0.7687432669000809
49,50,1,37,7,23,12,44,35,0.7551020408163265,0.8409090909090909,0.7666666666666667,0.6571428571428571,0.7956989247311828,0.7076923076923077,0.7602256092310342,0.759493670886076,0.7567086513595292
50,51,1,34,10,26,9,44,35,0.7906976744186046,0.7727272727272727,0.7222222222222222,0.7428571428571429,0.7816091954022988,0.732394366197183,0.7603604487619795,0.759493670886076,0.7598051571468678
51,52,1,35,9,22,13,44,35,0.7291666666666666,0.7954545454545454,0.7096774193548387,0.6285714285714286,0.7608695652173914,0.6666666666666666,0.7205321900095277,0.7215189873417721,0.7191341038341589
52,53,1,38,6,25,10,44,35,0.7916666666666666,0.8636363636363636,0.8064516129032258,0.7142857142857143,0.8260869565217391,0.7575757575757576,0.7982169593031168,0.7974683544303798,0.7957338936975701
53,54,1,34,10,19,16,44,35,0.68,0.7727272727272727,0.6551724137931034,0.5428571428571428,0.7234042553191491,0.5937499999999999,0.6690004364906155,0.6708860759493671,0.6659624966334501
54,55,1,40,4,17,18,44,35,0.6896551724137931,0.9090909090909091,0.8095238095238095,0.4857142857142857,0.7843137254901961,0.6071428571428571,0.7427615306270916,0.7215189873417721,0.7058203028046661
