,sample_index,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
18,152,19,0,34,1,37,6,35,43,0.85,0.9714285714285714,0.9736842105263158,0.8604651162790697,0.9066666666666667,0.9135802469135803,0.9181848852901486,0.9102564102564102,0.9104779993668884
19,152,20,0,33,2,33,10,35,43,0.7674418604651163,0.9428571428571428,0.9428571428571428,0.7674418604651163,0.8461538461538461,0.8461538461538461,0.864145157168413,0.8461538461538461,0.8461538461538461
20,152,21,0,34,1,36,7,35,43,0.8292682926829268,0.9714285714285714,0.972972972972973,0.8372093023255814,0.8947368421052632,0.9,0.908490103612055,0.8974358974358975,0.897638326585695
21,152,22,0,34,1,37,6,35,43,0.85,0.9714285714285714,0.9736842105263158,0.8604651162790697,0.9066666666666667,0.9135802469135803,0.9181848852901486,0.9102564102564102,0.9104779993668884
22,152,23,0,32,3,42,1,35,43,0.9696969696969697,0.9142857142857143,0.9333333333333333,0.9767441860465116,0.9411764705882354,0.9545454545454545,0.9496503496503496,0.9487179487179487,0.9485465514877279
23,152,24,0,35,0,42,1,35,43,0.9722222222222222,1.0,1.0,0.9767441860465116,0.9859154929577464,0.988235294117647,0.9875356125356125,0.9871794871794872,0.987194357699743
24,152,25,0,33,2,37,6,35,43,0.8461538461538461,0.9428571428571428,0.9487179487179487,0.8604651162790697,0.8918918918918919,0.9024390243902439,0.9026955950032873,0.8974358974358975,0.897706336730727
25,152,26,0,29,6,36,7,35,43,0.8055555555555556,0.8285714285714286,0.8571428571428571,0.8372093023255814,0.8169014084507044,0.8470588235294119,0.8339947089947091,0.8333333333333334,0.8335266500966585
26,152,27,0,23,12,31,12,35,43,0.6571428571428571,0.6571428571428571,0.7209302325581395,0.7209302325581395,0.6571428571428571,0.7209302325581395,0.6923076923076923,0.6923076923076923,0.6923076923076923
27,152,28,0,25,10,25,18,35,43,0.5813953488372093,0.7142857142857143,0.7142857142857143,0.5813953488372093,0.6410256410256411,0.6410256410256411,0.6546554220972826,0.6410256410256411,0.6410256410256411
28,152,29,0,23,12,25,18,35,43,0.5609756097560976,0.6571428571428571,0.6756756756756757,0.5813953488372093,0.605263157894737,0.6250000000000001,0.6242076973784291,0.6153846153846154,0.6161437246963564
29,152,30,0,28,7,25,18,35,43,0.6086956521739131,0.8,0.78125,0.5813953488372093,0.6913580246913581,0.6666666666666666,0.7038217670011148,0.6794871794871795,0.6777461221905666
30,152,31,0,27,8,23,20,35,43,0.574468085106383,0.7714285714285715,0.7419354838709677,0.5348837209302325,0.6585365853658536,0.6216216216216216,0.6667898562201925,0.6410256410256411,0.6381860284299308
31,152,32,0,4,31,31,12,35,43,0.25,0.11428571428571428,0.5,0.7209302325581395,0.1568627450980392,0.5904761904761905,0.38782051282051283,0.44871794871794873,0.3959060547295842
32,152,33,0,25,10,34,9,35,43,0.7352941176470589,0.7142857142857143,0.7727272727272727,0.7906976744186046,0.7246376811594202,0.7816091954022988,0.7559303441656383,0.7564102564102564,0.7560450543958789
33,152,34,0,24,11,26,17,35,43,0.5853658536585366,0.6857142857142857,0.7027027027027027,0.6046511627906976,0.6315789473684211,0.6499999999999999,0.650051552490577,0.6410256410256411,0.6417341430499325
34,152,35,0,11,24,38,5,35,43,0.6875,0.3142857142857143,0.6129032258064516,0.8837209302325582,0.43137254901960786,0.7238095238095238,0.6463761373035567,0.6282051282051282,0.5925878043525102
35,152,36,0,32,3,5,38,35,43,0.45714285714285713,0.9142857142857143,0.625,0.11627906976744186,0.6095238095238095,0.19607843137254904,0.5496794871794872,0.47435897435897434,0.3815987933634993
36,152,37,0,14,21,29,14,35,43,0.5,0.4,0.58,0.6744186046511628,0.4444444444444445,0.6236559139784946,0.5441025641025641,0.5512820512820513,0.5432405109824464
37,152,38,0,7,28,40,3,35,43,0.7,0.2,0.5882352941176471,0.9302325581395349,0.3111111111111111,0.7207207207207207,0.6383861236802414,0.6025641025641025,0.5369215369215369
38,152,39,0,15,20,36,7,35,43,0.6818181818181818,0.42857142857142855,0.6428571428571429,0.8372093023255814,0.5263157894736843,0.7272727272727273,0.6603396603396604,0.6538461538461539,0.6370997423629003
39,152,40,0,29,6,25,18,35,43,0.6170212765957447,0.8285714285714286,0.8064516129032258,0.5813953488372093,0.7073170731707318,0.6756756756756758,0.7214508209703816,0.6923076923076923,0.6898737386542265
40,152,41,0,25,10,33,10,35,43,0.7142857142857143,0.7142857142857143,0.7674418604651163,0.7674418604651163,0.7142857142857143,0.7674418604651162,0.7435897435897436,0.7435897435897436,0.7435897435897436
