sample_index,pts,r,stype,landmark_index
142,0,7.188516933,wt-at,5
143,0,7.188516933,wt-at,5
152,0,0,mt-at,5
172,0,0,mt-at,5
19,0,0,mt-at,5
2,0,0,mt-at,5
21,0,0,mt-at,5
24,0,0,mt-at,5
3,0,0,mt-at,5
317,0,0,mt-at,5
318,0,0,mt-at,5
319,0,0,mt-at,5
320,0,0,mt-at,5
321,0,0,mt-at,5
323,0,0,mt-at,5
324,0,0,mt-at,5
325,0,0,mt-at,5
326,0,0,mt-at,5
327,0,0,mt-at,5
328,0,0,mt-at,5
329,0,0,mt-at,5
330,0,0,mt-at,5
331,0,0,mt-at,5
332,0,0,mt-at,5
333,0,0,mt-at,5
334,0,0,mt-at,5
335,0,0,mt-at,5
336,0,0,mt-at,5
337,0,0,mt-at,5
338,0,0,mt-at,5
339,0,0,mt-at,5
340,0,0,mt-at,5
4,0,0,mt-at,5
5,0,0,mt-at,5
6,0,0,mt-at,5
1,0,0,mt-at,6
101,0,8.238536689,wt-at,6
102,0,8.238536689,wt-at,6
103,1073,8.238536689,wt-at,6
104,0,8.238536689,wt-at,6
105,0,8.238536689,wt-at,6
106,0,8.238536689,wt-at,6
107,0,8.238536689,wt-at,6
108,0,8.238536689,wt-at,6
109,0,8.238536689,wt-at,6
110,0,8.238536689,wt-at,6
111,0,8.238536689,wt-at,6
112_1,0,8.238536689,wt-at,6
112_2,0,0,mt-at,6
113,0,8.238536689,wt-at,6
114,0,8.238536689,wt-at,6
115,0,8.238536689,wt-at,6
116,0,8.238536689,wt-at,6
117,0,8.238536689,wt-at,6
118,0,8.238536689,wt-at,6
119,0,8.238536689,wt-at,6
120,0,8.238536689,wt-at,6
121,0,8.238536689,wt-at,6
122,0,8.238536689,wt-at,6
123,0,8.238536689,wt-at,6
124,0,8.238536689,wt-at,6
125,0,8.238536689,wt-at,6
126,0,8.238536689,wt-at,6
127,0,8.238536689,wt-at,6
128,0,8.238536689,wt-at,6
129,0,8.238536689,wt-at,6
130,0,8.238536689,wt-at,6
131,0,8.238536689,wt-at,6
132,0,8.238536689,wt-at,6
133,0,8.238536689,wt-at,6
134,0,8.238536689,wt-at,6
135,0,8.238536689,wt-at,6
136,0,8.238536689,wt-at,6
137,0,8.238536689,wt-at,6
138,0,8.238536689,wt-at,6
139,0,8.238536689,wt-at,6
140,0,8.238536689,wt-at,6
141,0,8.238536689,wt-at,6
142,0,8.238536689,wt-at,6
143,0,8.238536689,wt-at,6
152,0,0,mt-at,6
172,0,0,mt-at,6
19,0,0,mt-at,6
2,0,0,mt-at,6
21,0,0,mt-at,6
24,0,0,mt-at,6
3,0,0,mt-at,6
317,0,0,mt-at,6
318,0,0,mt-at,6
319,0,0,mt-at,6
320,0,0,mt-at,6
321,0,0,mt-at,6
323,0,0,mt-at,6
324,0,0,mt-at,6
325,0,0,mt-at,6
326,0,0,mt-at,6
327,0,0,mt-at,6
328,0,0,mt-at,6
329,0,0,mt-at,6
330,0,0,mt-at,6
331,0,0,mt-at,6
332,0,0,mt-at,6
333,0,0,mt-at,6
334,0,0,mt-at,6
335,0,0,mt-at,6
336,0,0,mt-at,6
337,0,0,mt-at,6
338,0,0,mt-at,6
339,0,0,mt-at,6
340,0,0,mt-at,6
4,0,0,mt-at,6
5,0,0,mt-at,6
6,0,0,mt-at,6
1,0,0,mt-at,7
101,0,0,wt-at,7
102,0,0,wt-at,7
103,0,0,wt-at,7
104,0,0,wt-at,7
105,0,0,wt-at,7
