sample_index,pts,r,stype,landmark_index
138,0,0,wt-zrf,9
139,0,0,wt-zrf,9
140,0,0,wt-zrf,9
141,0,0,wt-zrf,9
142,0,0,wt-zrf,9
143,0,0,wt-zrf,9
152,0,0,mt-zrf,9
172,0,0,mt-zrf,9
19,0,0,mt-zrf,9
2,0,0,mt-zrf,9
21,0,0,mt-zrf,9
24,0,0,mt-zrf,9
3,0,0,mt-zrf,9
317,0,0,mt-zrf,9
318,0,0,mt-zrf,9
319,0,0,mt-zrf,9
320,0,0,mt-zrf,9
321,0,0,mt-zrf,9
323,0,0,mt-zrf,9
324,0,0,mt-zrf,9
325,0,0,mt-zrf,9
326,0,0,mt-zrf,9
327,0,0,mt-zrf,9
328,0,0,mt-zrf,9
329,0,0,mt-zrf,9
330,0,0,mt-zrf,9
331,0,0,mt-zrf,9
332,0,0,mt-zrf,9
333,0,0,mt-zrf,9
334,0,0,mt-zrf,9
335,0,0,mt-zrf,9
336,0,0,mt-zrf,9
337,0,0,mt-zrf,9
338,0,0,mt-zrf,9
339,0,0,mt-zrf,9
340,0,0,mt-zrf,9
4,0,0,mt-zrf,9
5,0,0,mt-zrf,9
6,0,0,mt-zrf,9
1,0,0,mt-zrf,10
101,0,0,wt-zrf,10
102,0,0,wt-zrf,10
103,0,0,wt-zrf,10
104,0,0,wt-zrf,10
105,0,0,wt-zrf,10
106,0,0,wt-zrf,10
107,0,0,wt-zrf,10
108,0,0,wt-zrf,10
109,0,0,wt-zrf,10
110,0,0,wt-zrf,10
111,0,0,wt-zrf,10
112_1,0,0,wt-zrf,10
112_2,0,0,mt-zrf,10
113,0,0,wt-zrf,10
114,0,0,wt-zrf,10
115,0,0,wt-zrf,10
116,0,0,wt-zrf,10
117,0,0,wt-zrf,10
118,0,0,wt-zrf,10
119,0,0,wt-zrf,10
120,0,0,wt-zrf,10
121,0,0,wt-zrf,10
122,0,0,wt-zrf,10
123,0,0,wt-zrf,10
124,0,0,wt-zrf,10
125,0,0,wt-zrf,10
126,0,0,wt-zrf,10
127,0,0,wt-zrf,10
128,0,0,wt-zrf,10
129,0,0,wt-zrf,10
130,0,0,wt-zrf,10
131,0,0,wt-zrf,10
132,0,0,wt-zrf,10
133,0,0,wt-zrf,10
134,0,0,wt-zrf,10
135,0,0,wt-zrf,10
136,0,0,wt-zrf,10
137,0,0,wt-zrf,10
138,0,0,wt-zrf,10
139,0,0,wt-zrf,10
140,0,0,wt-zrf,10
141,0,0,wt-zrf,10
