sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index,median,median_2,r_new,r2_new
107,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
108,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
109,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
110,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
111,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
112_1,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
112_2,-90.51,-80.99,-0.79,0,50,0,,mt-zrf,-90.51/-0.79,4,0,0,0,0
113,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
114,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
115,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
116,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
117,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
118,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
119,-90.51,-80.99,-0.79,0,50,0,,wt-zrf,-90.51/-0.79,4,0,0,0,0
