,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
126,127,1,52.4,61.93,1.57,2.36,50,0,5.4302022789999995,mt-at
127,128,1,52.4,61.93,2.36,3.14,50,0,3.112946833,mt-at
128,129,1,61.93,71.46,-0.79,0.0,50,0,4.1862900960000005,mt-at
129,130,1,61.93,71.46,-1.57,-0.79,50,0,5.059668428,mt-at
130,131,1,61.93,71.46,-2.36,-1.57,50,0,3.3600990289999997,mt-at
131,132,1,61.93,71.46,-3.14,-2.36,50,0,2.166991583,mt-at
132,133,1,61.93,71.46,0.0,0.79,50,0,4.414543593,mt-at
133,134,1,61.93,71.46,0.79,1.57,50,0,5.629471719,mt-at
134,135,1,61.93,71.46,1.57,2.36,50,0,3.932298175,mt-at
135,136,1,61.93,71.46,2.36,3.14,50,0,1.9527820340000002,mt-at
136,137,1,71.46,80.99,-0.79,0.0,50,0,4.462385348,mt-at
137,138,1,71.46,80.99,-1.57,-0.79,50,0,5.604087829,mt-at
138,139,1,71.46,80.99,-2.36,-1.57,50,0,2.917692891,mt-at
139,140,1,71.46,80.99,-3.14,-2.36,50,0,0.776949465,mt-at
140,141,1,71.46,80.99,0.0,0.79,50,0,4.598093426,mt-at
141,142,1,71.46,80.99,0.79,1.57,50,0,5.415072087,mt-at
142,143,1,71.46,80.99,1.57,2.36,50,0,3.6617584310000004,mt-at
143,144,1,71.46,80.99,2.36,3.14,50,0,2.146430435,mt-at
144,145,1,80.99,90.51,-0.79,0.0,50,0,4.83836689,mt-at
145,146,1,80.99,90.51,-1.57,-0.79,50,0,1.7362511109999998,mt-at
146,147,1,80.99,90.51,-2.36,-1.57,50,0,1.5555569519999999,mt-at
147,148,1,80.99,90.51,-3.14,-2.36,50,0,1.5555569519999999,mt-at
148,149,1,80.99,90.51,0.0,0.79,50,0,6.284356842,mt-at
149,150,1,80.99,90.51,0.79,1.57,50,0,8.36757738,mt-at
150,151,1,80.99,90.51,1.57,2.36,50,0,1.8832690859999999,mt-at
151,152,1,80.99,90.51,2.36,3.14,50,0,1.5120652469999998,mt-at
152,1,2,-14.29,-4.76,-0.79,0.0,50,0,7.41555018,mt-at
153,2,2,-14.29,-4.76,-1.57,-0.79,50,26,3.8995805619999997,mt-at
154,3,2,-14.29,-4.76,-2.36,-1.57,50,29,5.231950629,mt-at
155,4,2,-14.29,-4.76,-3.14,-2.36,50,0,4.604663273,mt-at
156,5,2,-14.29,-4.76,0.0,0.79,50,0,9.613740398,mt-at
157,6,2,-14.29,-4.76,0.79,1.57,50,14,11.05239046,mt-at
158,7,2,-14.29,-4.76,1.57,2.36,50,1,16.80592373,mt-at
159,8,2,-14.29,-4.76,2.36,3.14,50,3,19.53192844,mt-at
160,9,2,-23.82,-14.29,-0.79,0.0,50,117,1.222471699,mt-at
161,10,2,-23.82,-14.29,-1.57,-0.79,50,277,1.835648898,mt-at
162,11,2,-23.82,-14.29,-2.36,-1.57,50,989,3.87342462,mt-at
163,12,2,-23.82,-14.29,-3.14,-2.36,50,237,1.321193522,mt-at
164,13,2,-23.82,-14.29,0.0,0.79,50,280,10.41245522,mt-at
165,14,2,-23.82,-14.29,0.79,1.57,50,216,1.634199404,mt-at
166,15,2,-23.82,-14.29,1.57,2.36,50,108,0.951753602,mt-at
167,16,2,-23.82,-14.29,2.36,3.14,50,319,10.54830625,mt-at
168,17,2,-33.35,-23.82,-0.79,0.0,50,481,1.68136979,mt-at
169,18,2,-33.35,-23.82,-1.57,-0.79,50,362,1.463384298,mt-at
170,19,2,-33.35,-23.82,-2.36,-1.57,50,593,1.909375419,mt-at
171,20,2,-33.35,-23.82,-3.14,-2.36,50,515,2.684442834,mt-at
172,21,2,-33.35,-23.82,0.0,0.79,50,1269,3.07574457,mt-at
173,22,2,-33.35,-23.82,0.79,1.57,50,386,1.6129447769999998,mt-at
174,23,2,-33.35,-23.82,1.57,2.36,50,67,0.58506271,mt-at
175,24,2,-33.35,-23.82,2.36,3.14,50,530,4.718855051999999,mt-at
176,25,2,-4.76,4.76,-0.79,0.0,50,0,7.983814496,mt-at
177,26,2,-4.76,4.76,-1.57,-0.79,50,0,5.924208765,mt-at
178,27,2,-4.76,4.76,-2.36,-1.57,50,0,5.566183675,mt-at
179,28,2,-4.76,4.76,-3.14,-2.36,50,1,4.729350834,mt-at
