,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
49,50,1,-61.93,-52.4,-1.57,-0.79,50,2599,6.147024105,mt-zrf
50,51,1,-61.93,-52.4,-2.36,-1.57,50,203,2.119929908,mt-zrf
51,52,1,-61.93,-52.4,-3.14,-2.36,50,60,1.7905093930000002,mt-zrf
52,53,1,-61.93,-52.4,0.0,0.79,50,0,5.470845145463415,mt-zrf
53,54,1,-61.93,-52.4,0.79,1.57,50,0,7.145992021794873,mt-zrf
54,55,1,-61.93,-52.4,1.57,2.36,50,0,7.225671878911766,mt-zrf
55,56,1,-61.93,-52.4,2.36,3.14,50,0,5.12971366777143,mt-zrf
56,57,1,-71.46,-61.93,-0.79,0.0,50,0,7.975689779954546,mt-zrf
57,58,1,-71.46,-61.93,-1.57,-0.79,50,0,8.975039812136364,mt-zrf
58,59,1,-71.46,-61.93,-2.36,-1.57,50,0,6.158859893076922,mt-zrf
59,60,1,-71.46,-61.93,-3.14,-2.36,50,0,4.685663,mt-zrf
60,61,1,-71.46,-61.93,0.0,0.79,50,0,7.54188176757143,mt-zrf
61,62,1,-71.46,-61.93,0.79,1.57,50,0,9.371338572047621,mt-zrf
62,63,1,-71.46,-61.93,1.57,2.36,50,0,6.53121312817647,mt-zrf
63,64,1,-71.46,-61.93,2.36,3.14,50,0,6.071621147214286,mt-zrf
64,65,1,-80.99,-71.46,-0.79,0.0,50,0,10.3128461528,mt-zrf
65,66,1,-80.99,-71.46,-1.57,-0.79,50,0,11.3182055094,mt-zrf
66,67,1,-80.99,-71.46,-2.36,-1.57,50,0,5.815648733333333,mt-zrf
67,68,1,-80.99,-71.46,-3.14,-2.36,50,0,5.815648733333333,mt-zrf
68,69,1,-80.99,-71.46,0.0,0.79,50,0,10.684059734200002,mt-zrf
69,70,1,-80.99,-71.46,0.79,1.57,50,0,12.2509807665,mt-zrf
70,71,1,-80.99,-71.46,1.57,2.36,50,0,8.217831928,mt-zrf
71,72,1,-80.99,-71.46,2.36,3.14,50,0,10.4099061955,mt-zrf
72,73,1,-90.51,-80.99,-0.79,0.0,50,0,10.584386488333333,mt-zrf
73,74,1,-90.51,-80.99,-1.57,-0.79,50,0,10.584386488333333,mt-zrf
74,75,1,-90.51,-80.99,-2.36,-1.57,50,0,6.6317259075,mt-zrf
75,76,1,-90.51,-80.99,-3.14,-2.36,50,0,6.6317259075,mt-zrf
76,77,1,-90.51,-80.99,0.0,0.79,50,0,9.276694040333334,mt-zrf
77,78,1,-90.51,-80.99,0.79,1.57,50,0,9.276694040333334,mt-zrf
78,79,1,-90.51,-80.99,1.57,2.36,50,0,3.91015801,mt-zrf
79,80,1,-90.51,-80.99,2.36,3.14,50,0,3.91015801,mt-zrf
80,81,1,14.29,23.82,-0.79,0.0,50,580,2.716800833,mt-zrf
81,82,1,14.29,23.82,-1.57,-0.79,50,323,1.577269246,mt-zrf
82,83,1,14.29,23.82,-2.36,-1.57,50,293,0.999584659,mt-zrf
83,84,1,14.29,23.82,-3.14,-2.36,50,301,1.905711751,mt-zrf
84,85,1,14.29,23.82,0.0,0.79,50,1273,2.067336202,mt-zrf
85,86,1,14.29,23.82,0.79,1.57,50,2405,3.820524433,mt-zrf
86,87,1,14.29,23.82,1.57,2.36,50,2643,9.835413557999999,mt-zrf
