"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"177",2,"-80.99","-71.46","0.79","1.57","50","0",NA,"mt-at"
"178",2,"-80.99","-71.46","1.57","2.36","50","0",NA,"mt-at"
"179",2,"-80.99","-71.46","2.36","3.14","50","0",NA,"mt-at"
"180",2,"-90.51","-80.99","-0.79","0.0","50","0",NA,"mt-at"
"181",2,"-90.51","-80.99","-1.57","-0.79","50","0",NA,"mt-at"
"182",2,"-90.51","-80.99","-2.36","-1.57","50","0",NA,"mt-at"
"183",2,"-90.51","-80.99","-3.14","-2.36","50","0",NA,"mt-at"
"184",2,"-90.51","-80.99","0.0","0.79","50","0",NA,"mt-at"
"185",2,"-90.51","-80.99","0.79","1.57","50","0",NA,"mt-at"
"186",2,"-90.51","-80.99","1.57","2.36","50","0",NA,"mt-at"
"187",2,"-90.51","-80.99","2.36","3.14","50","0",NA,"mt-at"
"188",2,"14.29","23.82","-0.79","0.0","50","15","15.89949711","mt-at"
"189",2,"14.29","23.82","-1.57","-0.79","50","0",NA,"mt-at"
"190",2,"14.29","23.82","-2.36","-1.57","50","3","6.905150921","mt-at"
"191",2,"14.29","23.82","-3.14","-2.36","50","205","6.760464025","mt-at"
"192",2,"14.29","23.82","0.0","0.79","50","0",NA,"mt-at"
"193",2,"14.29","23.82","0.79","1.57","50","0",NA,"mt-at"
"194",2,"14.29","23.82","1.57","2.36","50","481","8.973791355","mt-at"
"195",2,"14.29","23.82","2.36","3.14","50","112","7.737214909","mt-at"
"196",2,"23.82","33.35","-0.79","0.0","50","0",NA,"mt-at"
"197",2,"23.82","33.35","-1.57","-0.79","50","0",NA,"mt-at"
"198",2,"23.82","33.35","-2.36","-1.57","50","20","2.612510177","mt-at"
"199",2,"23.82","33.35","-3.14","-2.36","50","8","0.965211978","mt-at"
"200",2,"23.82","33.35","0.0","0.79","50","0",NA,"mt-at"
"201",2,"23.82","33.35","0.79","1.57","50","0",NA,"mt-at"
"202",2,"23.82","33.35","1.57","2.36","50","6","1.607801745","mt-at"
"203",2,"23.82","33.35","2.36","3.14","50","5","1.720948505","mt-at"
"204",2,"33.35","42.88","-0.79","0.0","50","440","2.719987614","mt-at"
"205",2,"33.35","42.88","-1.57","-0.79","50","247","2.96750151","mt-at"
"206",2,"33.35","42.88","-2.36","-1.57","50","30","3.117967339","mt-at"
"207",2,"33.35","42.88","-3.14","-2.36","50","17","2.509316143","mt-at"
"208",2,"33.35","42.88","0.0","0.79","50","393","2.999319136","mt-at"
"209",2,"33.35","42.88","0.79","1.57","50","1","3.418621266","mt-at"
"210",2,"33.35","42.88","1.57","2.36","50","1","1.695862688","mt-at"
"211",2,"33.35","42.88","2.36","3.14","50","14","1.853694384","mt-at"
"212",2,"4.76","14.29","-0.79","0.0","50","5","16.04431918","mt-at"
"213",2,"4.76","14.29","-1.57","-0.79","50","0",NA,"mt-at"
"214",2,"4.76","14.29","-2.36","-1.57","50","0","6.112143302","mt-at"
"215",3,"-14.29","-4.76","-0.79","0.0","50","113","1.060501823","mt-at"
"216",3,"-14.29","-4.76","-1.57","-0.79","50","9","0.418435324","mt-at"
"217",3,"-14.29","-4.76","-2.36","-1.57","50","4","0.288384468","mt-at"
"218",3,"-14.29","-4.76","-3.14","-2.36","50","3","0.336227699","mt-at"
"219",3,"-14.29","-4.76","0.0","0.79","50","139","0.763630397","mt-at"
"220",3,"-14.29","-4.76","0.79","1.57","50","211","1.445790127","mt-at"
"221",3,"-14.29","-4.76","1.57","2.36","50","472","2.572692995","mt-at"
"222",3,"-14.29","-4.76","2.36","3.14","50","22","0.536996667","mt-at"
"223",3,"-23.82","-14.29","-0.79","0.0","50","345","1.539261451","mt-at"
"224",3,"-23.82","-14.29","-1.57","-0.79","50","0",NA,"mt-at"
"225",3,"-23.82","-14.29","-2.36","-1.57","50","15","1.389587534","mt-at"
"226",3,"-23.82","-14.29","-3.14","-2.36","50","72","2.984960913","mt-at"
