"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"154","101","-14.29","-4.76","-1.57","-0.79","50","456","8.17566957","wt-zrf"
"155","101","-14.29","-4.76","-2.36","-1.57","50","820","9.043584504","wt-zrf"
"156","101","-14.29","-4.76","-3.14","-2.36","50","2327","14.74120014","wt-zrf"
"157","101","-14.29","-4.76","0.0","0.79","50","70","18.79067568","wt-zrf"
"158","101","-14.29","-4.76","0.79","1.57","50","0",NA,"wt-zrf"
"159","101","-14.29","-4.76","1.57","2.36","50","0",NA,"wt-zrf"
"160","101","-14.29","-4.76","2.36","3.14","50","18","9.61172643","wt-zrf"
"161","101","-23.82","-14.29","-0.79","0.0","50","437","9.98204158","wt-zrf"
"162","101","-23.82","-14.29","-1.57","-0.79","50","1093","8.971020438","wt-zrf"
"163","101","-23.82","-14.29","-2.36","-1.57","50","881","8.86571694","wt-zrf"
"164","101","-23.82","-14.29","-3.14","-2.36","50","1936","13.80937072","wt-zrf"
"165","101","-23.82","-14.29","0.0","0.79","50","391","5.592823662","wt-zrf"
"166","101","-23.82","-14.29","0.79","1.57","50","41","5.829859081","wt-zrf"
"167","101","-23.82","-14.29","1.57","2.36","50","7","3.624730039","wt-zrf"
"168","101","-23.82","-14.29","2.36","3.14","50","62","10.63010178","wt-zrf"
"169","101","-33.35","-23.82","-0.79","0.0","50","466","7.864500386","wt-zrf"
"170","101","-33.35","-23.82","-1.57","-0.79","50","572","6.548260667","wt-zrf"
"171","101","-33.35","-23.82","-2.36","-1.57","50","2090","5.8088414","wt-zrf"
"172","101","-33.35","-23.82","-3.14","-2.36","50","5063","14.45795117","wt-zrf"
"173","101","-33.35","-23.82","0.0","0.79","50","467","9.714192437","wt-zrf"
"174","101","-33.35","-23.82","0.79","1.57","50","29","9.811301599","wt-zrf"
"175","101","-33.35","-23.82","1.57","2.36","50","76","6.880036877","wt-zrf"
"176","101","-33.35","-23.82","2.36","3.14","50","355","11.80327825","wt-zrf"
"177","101","-4.76","4.76","-0.79","0.0","50","387","9.444666807","wt-zrf"
"178","101","-4.76","4.76","-1.57","-0.79","50","450","6.870341235","wt-zrf"
"179","101","-4.76","4.76","-2.36","-1.57","50","437","6.127701265","wt-zrf"
"180","101","-4.76","4.76","-3.14","-2.36","50","1517","15.11623185","wt-zrf"
"181","101","-4.76","4.76","0.0","0.79","50","160","17.06655153","wt-zrf"
"182","101","-4.76","4.76","0.79","1.57","50","1","8.591838258","wt-zrf"
"183","101","-4.76","4.76","1.57","2.36","50","1","2.57298765","wt-zrf"
"184","101","-4.76","4.76","2.36","3.14","50","3","7.451647625","wt-zrf"
"185","101","-42.88","-33.35","-0.79","0.0","50","1134","9.018573896","wt-zrf"
"186","101","-42.88","-33.35","-1.57","-0.79","50","375","6.253312748","wt-zrf"
"187","101","-42.88","-33.35","-2.36","-1.57","50","2275","5.049002303","wt-zrf"
"188","101","-42.88","-33.35","-3.14","-2.36","50","7390","11.14968136","wt-zrf"
"189","101","-42.88","-33.35","0.0","0.79","50","5011","10.26664245","wt-zrf"
"190","101","-42.88","-33.35","0.79","1.57","50","347","9.734145911","wt-zrf"
"191","101","-42.88","-33.35","1.57","2.36","50","168","4.398643953","wt-zrf"
"192","101","-42.88","-33.35","2.36","3.14","50","616","12.70685516","wt-zrf"
