landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
108,1,4.76,14.29,-3.14,-2.36,50,26,0.829201202,mt-zrf
109,1,4.76,14.29,0,0.79,50,2185,3.657641862,mt-zrf
110,1,4.76,14.29,0.79,1.57,50,1044,3.218311119,mt-zrf
111,1,4.76,14.29,1.57,2.36,50,1499,15.16381662,mt-zrf
112,1,4.76,14.29,2.36,3.14,50,326,12.43284388,mt-zrf
113,1,42.88,52.4,-0.79,0,50,3037,3.796166578,mt-zrf
114,1,42.88,52.4,-1.57,-0.79,50,6977,5.155311933,mt-zrf
115,1,42.88,52.4,-2.36,-1.57,50,670,1.737378742,mt-zrf
116,1,42.88,52.4,-3.14,-2.36,50,275,1.784180634,mt-zrf
117,1,42.88,52.4,0,0.79,50,821,1.897458696,mt-zrf
118,1,42.88,52.4,0.79,1.57,50,873,1.466199297,mt-zrf
119,1,42.88,52.4,1.57,2.36,50,2022,3.562078914,mt-zrf
120,1,42.88,52.4,2.36,3.14,50,2335,3.408491615,mt-zrf
121,1,52.4,61.93,-0.79,0,50,13,9.639897448,mt-zrf
122,1,52.4,61.93,-1.57,-0.79,50,1569,8.727087542,mt-zrf
123,1,52.4,61.93,-2.36,-1.57,50,1,17.2017788,mt-zrf
124,1,52.4,61.93,-3.14,-2.36,50,0,NA,mt-zrf
125,1,52.4,61.93,0,0.79,50,0,NA,mt-zrf
126,1,52.4,61.93,0.79,1.57,50,0,NA,mt-zrf
127,1,52.4,61.93,1.57,2.36,50,0,NA,mt-zrf
128,1,52.4,61.93,2.36,3.14,50,0,NA,mt-zrf
129,1,61.93,71.46,-0.79,0,50,0,NA,mt-zrf
130,1,61.93,71.46,-1.57,-0.79,50,0,NA,mt-zrf
131,1,61.93,71.46,-2.36,-1.57,50,0,NA,mt-zrf
132,1,61.93,71.46,-3.14,-2.36,50,0,NA,mt-zrf
133,1,61.93,71.46,0,0.79,50,0,NA,mt-zrf
134,1,61.93,71.46,0.79,1.57,50,0,NA,mt-zrf
135,1,61.93,71.46,1.57,2.36,50,0,NA,mt-zrf
136,1,61.93,71.46,2.36,3.14,50,0,NA,mt-zrf
137,1,71.46,80.99,-0.79,0,50,0,NA,mt-zrf
138,1,71.46,80.99,-1.57,-0.79,50,0,NA,mt-zrf
139,1,71.46,80.99,-2.36,-1.57,50,0,NA,mt-zrf
140,1,71.46,80.99,-3.14,-2.36,50,0,NA,mt-zrf
141,1,71.46,80.99,0,0.79,50,0,NA,mt-zrf
142,1,71.46,80.99,0.79,1.57,50,0,NA,mt-zrf
143,1,71.46,80.99,1.57,2.36,50,0,NA,mt-zrf
144,1,71.46,80.99,2.36,3.14,50,0,NA,mt-zrf
145,1,80.99,90.51,-0.79,0,50,0,NA,mt-zrf
146,1,80.99,90.51,-1.57,-0.79,50,0,NA,mt-zrf
147,1,80.99,90.51,-2.36,-1.57,50,0,NA,mt-zrf
148,1,80.99,90.51,-3.14,-2.36,50,0,NA,mt-zrf
149,1,80.99,90.51,0,0.79,50,0,NA,mt-zrf
150,1,80.99,90.51,0.79,1.57,50,0,NA,mt-zrf
151,1,80.99,90.51,1.57,2.36,50,0,NA,mt-zrf
152,1,80.99,90.51,2.36,3.14,50,0,NA,mt-zrf
1,2,-14.29,-4.76,-0.79,0,50,294,7.605135537,mt-zrf
2,2,-14.29,-4.76,-1.57,-0.79,50,981,5.133904263,mt-zrf
