sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype,unique_key,landmark_index
120,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
121,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
122,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
123,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
124,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
125,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
126,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
127,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
128,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
129,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
130,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
131,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
132,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
133,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
134,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
135,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
136,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
137,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
138,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
139,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
140,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
141,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
142,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
143,-90.51,-80.99,-1.57,-0.79,50,0,,wt-zrf,57.64968153,3
152,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
172,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
19,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
2,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
21,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
24,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
3,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
317,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
318,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
319,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
320,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
321,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
323,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
324,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
325,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
326,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
327,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
328,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
329,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
330,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
331,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
332,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
333,-90.51,-80.99,-1.57,-0.79,50,0,,mt-zrf,57.64968153,3
