,landmark_index,pred,ww,wm,mm,mw,sample_id,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
49,50,0,36,6,22,13,135,42,35,0.7346938775510204,0.8571428571428571,0.7857142857142857,0.6285714285714286,0.7912087912087913,0.6984126984126985,0.7578849721706865,0.7532467532467533,0.7490287490287492
50,51,1,35,7,23,12,135,42,35,0.7446808510638298,0.8333333333333334,0.7666666666666667,0.6571428571428571,0.7865168539325842,0.7076923076923077,0.7546744036105739,0.7532467532467533,0.7506875147324585
51,52,1,35,7,23,12,135,42,35,0.7446808510638298,0.8333333333333334,0.7666666666666667,0.6571428571428571,0.7865168539325842,0.7076923076923077,0.7546744036105739,0.7532467532467533,0.7506875147324585
52,53,0,37,5,26,9,135,42,35,0.8043478260869565,0.8809523809523809,0.8387096774193549,0.7428571428571429,0.8409090909090908,0.787878787878788,0.8199668494198649,0.8181818181818182,0.8168044077134986
53,54,0,30,12,23,12,135,42,35,0.7142857142857143,0.7142857142857143,0.6571428571428571,0.6571428571428571,0.7142857142857143,0.6571428571428571,0.6883116883116883,0.6883116883116883,0.6883116883116883
54,55,0,33,9,23,12,135,42,35,0.7333333333333333,0.7857142857142857,0.71875,0.6571428571428571,0.7586206896551724,0.6865671641791045,0.7267045454545454,0.7272727272727273,0.7258690871660506
55,56,1,36,6,29,6,135,42,35,0.8571428571428571,0.8571428571428571,0.8285714285714286,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.8441558441558441,0.8441558441558441,0.8441558441558441
56,57,0,40,2,20,15,135,42,35,0.7272727272727273,0.9523809523809523,0.9090909090909091,0.5714285714285714,0.8247422680412371,0.7017543859649122,0.8099173553719008,0.7792207792207793,0.7688386852792711
57,58,0,36,6,26,9,135,42,35,0.8,0.8571428571428571,0.8125,0.7428571428571429,0.8275862068965518,0.7761194029850748,0.8056818181818182,0.8051948051948052,0.8041922051186076
58,59,0,37,5,20,15,135,42,35,0.7115384615384616,0.8809523809523809,0.8,0.5714285714285714,0.7872340425531914,0.6666666666666666,0.7517482517482518,0.7402597402597403,0.7324306898774983
59,60,0,37,5,22,13,135,42,35,0.74,0.8809523809523809,0.8148148148148148,0.6285714285714286,0.8043478260869565,0.7096774193548386,0.774006734006734,0.7662337662337663,0.7613158230269029
60,61,0,34,8,27,8,135,42,35,0.8095238095238095,0.8095238095238095,0.7714285714285715,0.7714285714285715,0.8095238095238095,0.7714285714285715,0.7922077922077922,0.7922077922077922,0.7922077922077922
61,62,0,35,7,26,9,135,42,35,0.7954545454545454,0.8333333333333334,0.7878787878787878,0.7428571428571429,0.8139534883720929,0.7647058823529412,0.7920110192837465,0.7922077922077922,0.7915682129088422
62,63,1,29,13,27,8,135,42,35,0.7837837837837838,0.6904761904761905,0.675,0.7714285714285715,0.7341772151898734,0.72,0.7343366093366094,0.7272727272727273,0.7277330264672037
63,64,1,32,10,25,10,135,42,35,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7402597402597403,0.7402597402597403,0.7402597402597403
64,65,0,37,5,27,8,135,42,35,0.8222222222222222,0.8809523809523809,0.84375,0.7714285714285715,0.8505747126436781,0.8059701492537314,0.8320075757575758,0.8311688311688312,0.8302999111027933
65,66,0,36,6,24,11,135,42,35,0.7659574468085106,0.8571428571428571,0.8,0.6857142857142857,0.8089887640449439,0.7384615384615385,0.781431334622824,0.7792207792207793,0.776930934234305
66,67,1,28,14,25,10,135,42,35,0.7368421052631579,0.6666666666666666,0.6410256410256411,0.7142857142857143,0.7,0.6756756756756757,0.6932891669733775,0.6883116883116883,0.688943488943489
67,68,1,36,6,17,18,135,42,35,0.6666666666666666,0.8571428571428571,0.7391304347826086,0.4857142857142857,0.75,0.5862068965517241,0.6996047430830039,0.6883116883116883,0.6755485893416927
68,69,0,38,4,23,12,135,42,35,0.76,0.9047619047619048,0.8518518518518519,0.6571428571428571,0.8260869565217391,0.7419354838709677,0.8017508417508418,0.7922077922077922,0.787836287135025
69,70,0,32,10,24,11,135,42,35,0.7441860465116279,0.7619047619047619,0.7058823529411765,0.6857142857142857,0.7529411764705882,0.6956521739130436,0.7267752767068772,0.7272727272727273,0.7269007207626134
70,71,1,33,9,25,10,135,42,35,0.7674418604651163,0.7857142857142857,0.7352941176470589,0.7142857142857143,0.7764705882352941,0.7246376811594202,0.7528292500932721,0.7532467532467533,0.7529101759280786
71,72,1,32,10,24,11,135,42,35,0.7441860465116279,0.7619047619047619,0.7058823529411765,0.6857142857142857,0.7529411764705882,0.6956521739130436,0.7267752767068772,0.7272727272727273,0.7269007207626134
72,73,0,36,6,20,15,135,42,35,0.7058823529411765,0.8571428571428571,0.7692307692307693,0.5714285714285714,0.7741935483870968,0.6557377049180327,0.7346770876182641,0.7272727272727273,0.7203499831738859
73,74,0,38,4,22,13,135,42,35,0.7450980392156863,0.9047619047619048,0.8461538461538461,0.6285714285714286,0.8172043010752689,0.721311475409836,0.7910324969148499,0.7792207792207793,0.7736166530455267
74,75,0,36,6,14,21,135,42,35,0.631578947368421,0.8571428571428571,0.7,0.4,0.7272727272727273,0.509090909090909,0.6626794258373205,0.6493506493506493,0.6280991735537189
75,76,0,33,9,14,21,135,42,35,0.6111111111111112,0.7857142857142857,0.6086956521739131,0.4,0.6875000000000001,0.48275862068965525,0.6100131752305665,0.6103896103896104,0.594435736677116
76,77,0,25,17,28,7,135,42,35,0.78125,0.5952380952380952,0.6222222222222222,0.8,0.6756756756756757,0.7000000000000001,0.7089646464646465,0.6883116883116883,0.6867321867321868
77,78,0,34,8,23,12,135,42,35,0.7391304347826086,0.8095238095238095,0.7419354838709677,0.6571428571428571,0.7727272727272727,0.6969696969696969,0.7404054570954991,0.7402597402597403,0.7382920110192837
78,79,0,34,8,23,12,135,42,35,0.7391304347826086,0.8095238095238095,0.7419354838709677,0.6571428571428571,0.7727272727272727,0.6969696969696969,0.7404054570954991,0.7402597402597403,0.7382920110192837
79,80,0,35,7,23,12,135,42,35,0.7446808510638298,0.8333333333333334,0.7666666666666667,0.6571428571428571,0.7865168539325842,0.7076923076923077,0.7546744036105739,0.7532467532467533,0.7506875147324585
80,81,0,38,4,20,15,135,42,35,0.7169811320754716,0.9047619047619048,0.8333333333333334,0.5714285714285714,0.8,0.6779661016949152,0.7698684962835907,0.7532467532467533,0.7445300462249616
81,82,0,37,5,18,17,135,42,35,0.6851851851851852,0.8809523809523809,0.782608695652174,0.5142857142857142,0.7708333333333335,0.6206896551724138,0.7294685990338164,0.7142857142857143,0.7025862068965518
82,83,1,39,3,17,18,135,42,35,0.6842105263157895,0.9285714285714286,0.85,0.4857142857142857,0.7878787878787878,0.6181818181818183,0.7595693779904307,0.7272727272727273,0.7107438016528925
83,84,1,37,5,16,19,135,42,35,0.6607142857142857,0.8809523809523809,0.7619047619047619,0.45714285714285713,0.7551020408163266,0.5714285714285714,0.7067099567099567,0.6883116883116883,0.6716141001855288
84,85,0,25,17,29,6,135,42,35,0.8064516129032258,0.5952380952380952,0.6304347826086957,0.8285714285714286,0.684931506849315,0.7160493827160495,0.7264439627693484,0.7012987012987013,0.6990759958796489
85,86,0,36,6,20,15,135,42,35,0.7058823529411765,0.8571428571428571,0.7692307692307693,0.5714285714285714,0.7741935483870968,0.6557377049180327,0.7346770876182641,0.7272727272727273,0.7203499831738859
86,87,0,34,8,25,10,135,42,35,0.7727272727272727,0.8095238095238095,0.7575757575757576,0.7142857142857143,0.7906976744186046,0.7352941176470589,0.7658402203856749,0.7662337662337663,0.7655142395224473
87,88,0,33,9,28,7,135,42,35,0.825,0.7857142857142857,0.7567567567567568,0.8,0.8048780487804876,0.7777777777777778,0.793980343980344,0.7922077922077922,0.7925597437792559
