,f1,landmark_index,m_f1,m_precision,m_recall,m_support,mm,mw,precision,pred,recall,sample_index,w_f1,w_precision,w_recall,w_support,wm,ww
133,0.6915623409999999,134,0.7356321840000001,0.603773585,0.9411764709999999,34,32,2,0.778506085,1,0.7012987009999999,320,0.656716418,0.916666667,0.511627907,43,21,22
134,0.909398398,135,0.904109589,0.846153846,0.970588235,34,33,1,0.9173721020000001,1,0.9090909090000001,320,0.9135802470000001,0.9736842109999999,0.860465116,43,6,37
135,0.986990707,136,0.985074627,1.0,0.970588235,34,33,1,0.9873081459999999,1,0.9870129870000001,320,0.988505747,0.977272727,1.0,43,0,43
136,0.987030702,137,0.985507246,0.9714285709999999,1.0,34,34,0,0.987384045,1,0.9870129870000001,320,0.9882352940000001,1.0,0.9767441859999999,43,1,42
137,1.0,138,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
138,1.0,139,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
139,0.987030702,140,0.985507246,0.9714285709999999,1.0,34,34,0,0.987384045,1,0.9870129870000001,320,0.9882352940000001,1.0,0.9767441859999999,43,1,42
140,1.0,141,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
141,1.0,142,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
142,1.0,143,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
143,0.987030702,144,0.985507246,0.9714285709999999,1.0,34,34,0,0.987384045,1,0.9870129870000001,320,0.9882352940000001,1.0,0.9767441859999999,43,1,42
144,0.40021645,145,0.0,0.0,0.0,34,0,34,0.311856974,0,0.558441558,320,0.716666667,0.558441558,1.0,43,0,43
145,0.40021645,146,0.0,0.0,0.0,34,0,34,0.311856974,0,0.558441558,320,0.716666667,0.558441558,1.0,43,0,43
146,1.0,147,1.0,1.0,1.0,34,34,0,1.0,1,1.0,320,1.0,1.0,1.0,43,0,43
