,sample_index,landmark_index,pred,ww,wm,mm,mw,sample_id,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
36,328,37,0,27,8,36,7,328,35,43,0.7941176470588235,0.7714285714285715,0.8181818181818182,0.8372093023255814,0.782608695652174,0.8275862068965518,0.8073837926779104,0.8076923076923077,0.8074039903125362
37,328,38,1,19,16,42,1,328,35,43,0.95,0.5428571428571428,0.7241379310344828,0.9767441860465116,0.6909090909090908,0.8316831683168318,0.8254862953138815,0.782051282051282,0.7685153130697685
38,328,39,0,20,15,38,5,328,35,43,0.8,0.5714285714285714,0.7169811320754716,0.8837209302325582,0.6666666666666666,0.7916666666666666,0.7542331881954524,0.7435897435897436,0.7355769230769231
39,328,40,0,24,11,40,3,328,35,43,0.8888888888888888,0.6857142857142857,0.7843137254901961,0.9302325581395349,0.7741935483870968,0.851063829787234,0.8312384782973018,0.8205128205128205,0.816570754799993
40,328,41,0,28,7,35,8,328,35,43,0.7777777777777778,0.8,0.8333333333333334,0.813953488372093,0.7887323943661971,0.8235294117647058,0.8084045584045584,0.8076923076923077,0.8079153654961442
41,328,42,0,24,11,39,4,328,35,43,0.8571428571428571,0.6857142857142857,0.78,0.9069767441860465,0.7619047619047619,0.8387096774193548,0.8146153846153846,0.8076923076923077,0.8042459332781913
42,328,43,0,29,6,23,20,328,35,43,0.5918367346938775,0.8285714285714286,0.7931034482758621,0.5348837209302325,0.6904761904761905,0.6388888888888888,0.7027914614121511,0.6666666666666666,0.662037037037037
43,328,44,1,10,25,40,3,328,35,43,0.7692307692307693,0.2857142857142857,0.6153846153846154,0.9302325581395349,0.41666666666666663,0.7407407407407407,0.6844181459566075,0.6410256410256411,0.5953228869895536
44,328,45,0,21,14,35,8,328,35,43,0.7241379310344828,0.6,0.7142857142857143,0.813953488372093,0.65625,0.7608695652173914,0.7187065807755463,0.717948717948718,0.7139248885172799
45,328,46,1,26,9,33,10,328,35,43,0.7222222222222222,0.7428571428571429,0.7857142857142857,0.7674418604651163,0.732394366197183,0.7764705882352941,0.7572242572242572,0.7564102564102564,0.7566927962951161
